Country,Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
Brazil,178.0116750034317,165.27638850309685,181.04994195314643,141.73954588082748,96.83976867029855,55.35308290739033,33.60155282629933,29.79248139165834,43.31875812904964,83.69183731544165,125.9163850176208
United States Minor Outlying Islands,46.23036692859319,36.78411397414334,40.004819566692,39.687613576033996,43.94865953958133,43.028545403789465,29.836044641394665,13.8575020273622,11.294638105316599,13.112943700845332,21.486715730453337
Myanmar,20.243556301958975,19.173382235832694,32.90278273438384,62.32178137873901,155.5897226868575,265.8667643965006,305.5090245712644,281.26218932962894,213.18350157535397,114.18412255908271,52.34757875089164
Côte d’Ivoire,13.953757951626233,25.354669285320753,64.14326061204142,112.52999623347573,160.94317319552428,217.2257744238724,258.2442376228676,243.40322185375425,202.96205541650713,158.43571139090858,61.619377424317705
Thailand,30.416256306081888,22.531654392998288,42.57644127397636,87.72573276402487,188.43387452461386,250.5753404710104,256.1211397721523,266.96569755059176,244.76929156837576,147.32095596380506,86.47494041965356
Japan,113.64217722176737,100.04765113591507,116.12755194677683,122.26255129646106,135.96113274423018,153.73508405502014,155.5646153766021,151.27293681979577,141.09368842291823,112.51228875271913,110.98787895551617
Ecuador,183.16270843932045,186.9150560118787,249.14971139145334,244.17972662833398,167.62192484785433,95.33736473929913,78.61584615763668,110.94094358432007,149.211862225305,172.89225065413808,178.00620757614857
Malawi,256.5081202685887,226.71690710092668,168.174612379052,66.56195818760467,23.671379578501128,11.897671840848572,9.160995145634272,6.241364022158483,5.681793762198154,25.97522502515393,112.135231273032
Mauritius,133.68796793770005,143.9475275662467,161.13089764839,122.15642636674998,85.63061129568332,59.98007634179001,55.03929786487334,47.34858887964666,33.72038682234,30.566360028788665,38.932046190780014
Panama,34.185793664113724,27.30570540720583,41.1084575808616,74.2358674726116,183.15324067527527,275.1679903339152,274.8578219100666,253.5882679189,249.5343407477095,233.32774756500095,159.27148199939998
Viet Nam,47.474816821679745,33.962578176128574,44.668211113076495,76.69118043582056,168.43990635343863,224.15729183619754,229.610436863375,237.5928246604181,216.60992955102589,153.4151065164197,106.60588774416733
Peru,197.77062773299733,205.75578461293725,239.52974965311844,176.99852283152072,93.4169163620433,43.375894225347594,30.47674993863137,45.24531979984572,97.9122791095078,150.09123469427468,168.08262953017595
Zambia,250.96096616964041,219.6885957704589,164.8363011215342,54.76872083073704,12.055354846850971,3.5946275900941154,2.387839357924537,2.296912804998802,9.71723804845215,55.20386413433078,152.31066584553156
India,27.29168857216923,19.466548187623992,25.699066984433426,36.43456261564056,61.135070158714505,121.67950140766229,192.34745692326933,192.06002606105423,150.93309401306746,97.34435470127916,59.55780400292051
Lao People's Democratic Republic,25.291596631521205,20.934244165947337,34.617014723596085,71.73383741588623,173.16793308584047,239.46529577765733,238.86259741917732,253.25714853555993,193.88140311555156,99.86142331663733,50.78686742777146
Taiwan,95.34066384868557,74.86910574205889,80.48877008413666,94.38932840867666,142.00376573467557,205.98822648424556,210.6979383677855,220.03650767213333,174.0755129419611,135.21995752391555,114.72191825436555
Nicaragua,31.486837550173753,20.587708263171738,19.031486534081544,32.82418435977287,105.64436295688304,183.8845008167689,166.14953748889704,151.83321264581335,183.17085936465708,172.38486598833333,96.14701344255971
China,25.72341201991953,29.777193099551706,50.59419064664051,72.70057569491941,96.55670718627766,111.81353287531496,126.57199384015159,113.04383531761006,76.61800742283052,48.63812996468683,33.634512279505905
Burundi,206.1904425663756,179.8730280525111,211.80809106137775,188.8729994865111,101.73934607713535,29.156289989374375,23.119151904867245,51.41150157152,109.75601475448846,224.69078258443778,312.8737152118444
Costa Rica,26.616325977545422,17.88235524390926,23.66384299385339,49.1522622448089,149.3493713662403,248.1057414303762,242.34094880703236,217.36457121006288,229.47227420736667,208.70232179797333,124.96406753378058
United States of America,69.32135848412767,61.896233682345674,69.02032129745973,67.78682873852257,71.76817773350034,70.24508345843692,70.59019546292815,70.20394127589022,71.41186911470997,72.27391022129899,73.27090426836664
Indonesia,301.0807384240248,257.66868644502733,260.83242079945086,235.27517720842263,234.65471022744427,196.2387826617698,189.1147974338535,187.76897825797607,187.6649610118753,200.55466544858191,216.81964794683057
Uganda,85.7844783418941,82.28882840655231,117.2354760046058,149.5961323333446,141.08101092987897,79.50264853828284,71.92140328617626,100.84367037165924,132.81844516056566,194.08296544985896,202.06782833107076
Mexico,51.68102191139051,36.06582386733503,31.461522032470327,33.1565047647658,56.98525687319121,90.3922426047876,106.58272917967324,112.17959316397288,126.0233455945502,98.34919458100951,68.30006955472416
Guatemala,39.30505021278449,29.49714053195984,29.395259839184494,52.639539792811846,115.91083435182925,177.11580300900476,142.07931883067218,142.49312770168478,194.8815958197362,160.09708317138288,70.50891140237515
Colombia,86.89648445315083,96.3578282948928,150.79937236680655,201.80243007286836,240.9409162238482,221.2282535399945,186.67940186938097,191.93199784906975,201.08734913355917,211.88898969550482,171.96953530988
Haiti,50.24160054798167,39.642526658833326,35.502607759379835,38.233872421615665,67.5095025543155,77.08015926690332,69.39050514141167,82.70393431684003,100.14109712485667,117.97163906084832,89.99755843839665
Honduras,46.113621436065316,31.373423407786255,26.015723109573774,38.46110445672802,99.4818860340502,158.22311175705707,131.39177122253034,127.92252970748297,169.32130931731928,161.32059341609408,92.60603149789164
Ethiopia,10.35271400974405,12.22317070603405,32.031763024011305,76.12396562239184,108.96325696933987,87.24442528454247,105.05183394700398,117.51164008818516,112.43504635026532,107.79177316250885,61.86477673156013
Kenya,46.29689845716761,37.73332927440472,51.888160422658785,82.38120637020971,95.67042848534021,40.71911954540415,29.54370108387298,34.52363325880093,43.7117502472355,96.22657391382423,122.72280243167667
United Republic of Tanzania,183.36602214794962,149.15668781131217,147.01938851894113,111.225751988412,64.88138016884213,22.758440080009347,15.38526226347199,18.230254650087826,28.78067430256192,71.92470926452673,151.38566370363165
Papua New Guinea,268.70186733111933,253.08917781333997,274.3226321088477,251.38201414771203,220.5303526271528,181.65874243152973,174.08622830236908,171.80228594436838,172.90833656596664,178.0660198505922,183.33695408635455
Rwanda,195.95126241443,175.26741993220003,215.45134379033334,207.03755518502334,125.16509304372667,39.892288693541005,32.058063896550664,69.33858232480334,139.26484264332333,257.95284550694004,328.712499484
El Salvador,20.505238032526666,14.981542610273667,17.615576918386566,45.72624230760233,118.72811273884699,190.6237447669567,155.12552052060664,155.32528267198333,206.72680047254335,167.7221037250266,62.23763691470799
Puerto Rico,54.149346923943334,42.23113956418333,36.39281009017334,39.79268652573668,61.136439323813335,67.45057586001666,77.95181741430333,91.74704622185335,104.65997059896331,111.98451156887667,95.49734001532333
Philippines,162.03971358071874,113.35480320173421,122.71294903459192,132.0115679177154,193.50630485411023,263.8179069876974,288.04347508655775,276.7253955683472,267.9144645129588,254.2600280376744,214.95353647464106
