Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Brazil,26.274798121776687,26.285041399369085,26.069757136105412,25.391451216719734,24.24641042237892,23.163928850171747,23.329747162836497,25.239404748281753,27.338145326951658,27.9551405492649,27.348350312239194,26.553134247950933
Burundi,20.50689079655595,21.14927636988214,21.55356270914524,21.61755225736071,21.187109810982147,20.77732522112024,20.92111496686905,21.86236499584524,22.390958150491667,21.748300824392857,20.694431486616672,20.222205025520235
China,-8.665359106407763,-5.657774274438958,0.2869650905029643,6.725093384462584,12.270259936104111,16.705973894063394,18.841047835241735,17.4088929524501,12.580412855887378,5.991077573634947,-0.9072969605260729,-6.835437256716866
Colombia,25.37212407224589,25.956699071500264,26.193946402588832,25.828907939316704,25.059709112540265,24.464449773887317,24.729877526097315,25.824667657688032,26.296190534366332,26.010902459684026,25.485100419242503,25.184677614785183
Costa Rica,26.71586593341173,27.03612845307551,27.640037536459186,28.176105110294902,27.99507841798827,27.263201499752558,27.12248572549235,27.359838524348465,27.394938566443876,27.11175147858214,26.887229920039793,26.735311702583676
Côte d’Ivoire,25.35815126030842,27.279833969164798,28.795826114306376,28.63862158296556,27.680006688910968,26.61824603958878,25.650180738840046,25.168541343286734,25.527482791644896,26.107681119094135,26.164720029081384,25.142106192889536
Ecuador,23.706075177805477,23.94072905088358,24.106342279120003,24.155228169611906,23.842705572026667,23.283784993152377,23.150766135980234,23.51638205415738,23.552573140788336,23.45062154140762,23.466420346434997,23.55134313726547
El Salvador,24.709696088769643,25.49159022782322,26.95965957659643,28.21426119206787,28.10730143941072,27.223964690785717,27.25242451256072,27.36137226655,26.91478184250357,26.204427446712508,25.501380375082142,24.814736502748215
Ethiopia,22.430782068193345,23.991120356574815,25.619691237527228,26.14915775587818,25.718645603798652,25.36587182724894,24.485667283632434,24.191167558800874,24.697398418270847,24.09282799203504,23.023949258480602,22.202116830460426
Guatemala,23.115735268360712,23.957687533761224,25.94404804451275,27.81530964134898,28.053169405878574,27.47974582582704,27.550738120733154,27.622646720587756,26.958417308450503,25.783478561320923,24.553518645662756,23.422676086679083
Haiti,25.470419202975002,25.315321786365185,25.549450193163384,26.11691311438125,26.75236783678929,27.387157167518755,27.996051243251788,28.339517593763393,28.25700841678036,27.763338361487495,27.019506726729457,26.117054258310713
Honduras,24.56891656282381,25.096051292123807,26.325791979724613,27.559159778199994,27.718976702288092,27.17405579614484,27.23461417527301,27.416644262794446,27.14842320994563,26.48337712424127,25.63901774069206,24.84920198980159
India,15.968594407435848,18.291495042398548,22.01249329755181,25.71869826259269,28.04191824684353,28.325956081388856,26.844978043899694,25.810764423691104,24.735776657723594,22.544382531786727,19.384189822708866,16.48282044090883
Indonesia,27.425496666061587,27.404766976971455,27.63250849751745,27.831291831257552,27.855130135913818,27.598535219481565,27.26231979200774,27.18175565658071,27.328578861586553,27.559671998506353,27.697455794179746,27.624032680985557
Japan,5.848777398173746,6.0446902538881355,8.434525998702378,12.026564835014055,15.745792331381287,19.22530866915694,21.941656986805828,22.958133554372733,21.14422148518761,16.794206921137228,12.038114590373466,8.178325050744231
Kenya,24.739235271004873,25.730198550405515,26.34490248464269,26.001320231865584,24.9351875503224,24.21992462922987,23.727733166071268,24.01356714407126,24.805986032573866,24.944607028592703,24.253676575684416,24.060415787741878
Lao People's Democratic Republic,16.86326366586302,19.79166346956857,24.14771561404762,27.175355820534044,27.369855244566907,26.146685355293577,25.338964625772856,24.972865368389286,24.079930986400235,22.04464852462881,19.506228928004997,17.002468799195096
Malawi,23.73934914659179,23.48086133655143,23.09260984168286,22.22007457143107,20.456873757562857,18.844655609255003,18.68408878880393,20.417363084538213,23.562519945543578,26.104978397426063,26.038667187944643,24.45182865658214
Mauritius,26.752205439942866,27.252279009410717,27.240474700416076,26.56435557797857,25.28106907449286,23.86568178416964,22.821166991760716,22.3860898697375,22.42413766074107,23.098417010130362,24.387217385812498,25.787149157046425
Mexico,16.190672213445122,17.222104592643117,19.336358301022763,22.05010396940973,24.379694553365876,25.94688676580763,26.593819580291406,26.549004838832854,25.265204885640788,22.63258178862875,19.407835016710127,16.784915378822074
Myanmar,17.036429746177067,19.632604769777366,23.21989154806067,26.038082293248944,26.70998849211175,25.800498451571652,24.92889462190424,24.608469179709594,24.014951740060386,22.307849372790383,19.697068656872112,17.231695549895367
Nicaragua,25.796948023954368,26.227852473311906,27.128361050994442,28.034949408792066,28.059274341075003,27.372232588700005,27.351045880783726,27.606414068748418,27.499774266921822,27.044060843184525,26.50674620156071,25.98206123430199
Panama,27.099078431272456,27.25112946198571,27.5706035070398,27.745225867129587,27.465370800700004,27.00146406547347,26.893141299165812,27.0788510377403,27.190834356671935,27.014066268191332,26.952284365637247,27.049851397883156
Papua New Guinea,27.415483284544155,27.370571053845563,27.37085317572316,27.25830206939275,26.969302222940577,26.543791205378025,26.20529904700909,26.210128420681716,26.447976942032792,26.745379988453255,27.088006650435826,27.377675539569484
Peru,22.183628195477723,22.335900919605425,22.247280075390336,21.876849446683423,21.001677762669107,20.20228878685066,20.424005144949074,22.143231619220053,23.1489700357952,22.96118806679205,22.531434218227673,22.226243087195332
Philippines,26.288936069505628,26.267902877162225,26.985344603305766,27.896509946179663,28.463071928326645,28.456591092370605,28.142105060889975,28.071621318302608,28.048471723557288,27.872632665414976,27.521609212300824,26.867917113221008
Puerto Rico,25.362104688807143,25.00121797833214,24.99651336695,25.34516688755357,25.974808829158935,26.586801801455355,27.14698573552322,27.59903063103215,27.75081634487322,27.515325818276786,26.935003008216068,26.087164197430365
Rwanda,20.472094944769648,21.16370664292679,21.55846677503928,21.564641135010714,21.107005527721423,20.817491803796425,21.041622162000003,21.757087161932144,21.975973402112498,21.303665160919643,20.501519339333928,20.135032108964293
Taiwan,18.165917896290477,18.793429783225,20.840655917480948,23.345273880517855,25.684694926076784,27.257439204324406,27.939951760626194,27.94124912141428,27.160031818442853,25.123790559344645,22.515807741754166,19.75546028448988
United Republic of Tanzania,22.840233658838674,23.192797072812755,23.385539152003876,23.01899504331766,22.030345994802143,20.992994285366738,20.780364149232756,21.782690180678166,23.240642470160402,24.10409573937969,23.73628241112653,22.93226237331694
Thailand,21.627673689053,23.97414886466885,27.164995247822,28.96647208050829,28.635568193593,27.25831516773085,26.459126020191142,26.200093601695716,25.84593205021386,24.882825665958425,23.383657357583434,21.633526611447852
Uganda,22.25700386824423,23.331495515203297,23.841765100117858,23.420108334865926,22.49146555818434,22.117767753228577,22.05462503990302,22.4008649048445,22.854298685806867,22.64979410688984,21.883739513048624,21.567731836532424
United States of America,-3.5306544221879044,-2.3340513732300137,1.119519519359639,6.294055107019745,11.81646268102075,16.48454333066751,18.995610355958714,18.235374272656944,14.13202129764223,8.238007930336343,2.2690251048008867,-1.9204395839050759
United States Minor Outlying Islands,25.90154157326786,25.916896275535716,25.98187146890357,26.16474805561429,26.495294843460723,26.638589041425,26.21627807643929,25.627572195617855,25.279453822685717,25.267953055235715,25.54059491843214,25.810180664278572
Viet Nam,18.857781183149672,20.729853947957782,23.91034712110208,26.52138696397917,27.377042634143606,27.120188803900003,26.683798426675445,26.32732650211934,25.432156381152673,23.7594025929756,21.615332194738006,19.345596495130017
Zambia,22.658847082635123,22.560481262295948,22.447131565390002,21.834060523862263,20.20757083037024,18.45599746718464,18.41169077547881,20.670237041988454,24.226367841104288,26.02988902495286,24.66068707437369,23.114810144734637
