Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Brazil,25.413292971258876,25.472035986530383,25.264315597345743,24.400025458133268,23.209819125529997,22.087122878387888,22.193604667670666,24.12781334264939,26.248107828946992,26.93972479452274,26.404432701224597,25.653412459187166
Burundi,19.51105685829556,20.139173040995555,20.639318169768885,20.70829739018,20.22121310757778,19.833099365340004,20.041944037091113,20.96411471928889,21.44293212962667,20.84660983654889,19.736813693479995,19.24705267976
China,-10.79970385901879,-7.932184938714382,-1.658913378097535,5.248831290538719,11.239965425662149,16.1276208984673,18.652444558362188,17.41814786062808,12.388485838653537,5.512930655926165,-2.070979814398532,-8.613449876304564
Colombia,24.483821919569497,25.07171081566,25.284598438824496,24.800134582709664,24.021061808244337,23.432616526059828,23.66025894185833,24.797364044675493,25.329694569764833,25.085328114991164,24.59734954857766,24.306577199811503
Costa Rica,25.723832194074284,26.08319847444762,26.69623732796666,27.248651123217144,27.11645798457429,26.403148832698093,26.207530866017144,26.50368245369714,26.607750883886663,26.334390113659996,26.09289085738667,25.858817836672376
Côte d’Ivoire,24.349063401584285,26.45534246635953,28.10805489664905,27.84461800704143,26.804814365272858,25.683632550682383,24.691129557266667,24.285105678036192,24.64171970928048,25.18322463254619,25.110002936222376,24.084511166835235
Ecuador,22.819010688819553,23.09027452283067,23.269265815093775,23.27928236194178,22.962100965767107,22.392989772824446,22.208204210286222,22.62220445423867,22.686299913089332,22.55693617135822,22.59956108917822,22.69217664906133
El Salvador,23.452998860463335,24.32624410051,25.81209411639667,27.076848347323335,27.0886678062,26.114005533056666,25.972796631473333,26.22363891574667,25.93434855108,25.221497599216665,24.41977539046667,23.68204854383
Ethiopia,21.385060903815315,22.955711020810806,24.7220473280636,25.238310007666843,24.753587491860184,24.506479954496932,23.61302319781874,23.346568009792428,23.83777691254721,23.18894389356594,22.113754080039463,21.11892705736703
Guatemala,21.877464658002857,22.801513381560003,24.656354922574284,26.63367164289524,27.01854945587238,26.40961710617905,26.38024553505524,26.56696196026286,26.109083194511427,24.871211751649522,23.464761207437142,22.33337693025238
Haiti,24.679827880660003,24.485720825165,24.703501383733332,25.27822774223667,25.974539692990003,26.57939758285666,27.23131815614333,27.636388651535004,27.57823944126333,27.06491750108,26.315679423083328,25.414138285355
