id,species,owner,countryOfOrigin,ISOofOrigin,company,region,producer,harvestYear,gradingDate,owner1,variety,processingMethod,aroma,flavor,aftertaste,acidity,body,balance,uniformity,cleanCup,sweetness,cupperPoints,totalCupPoints,moisture,color,altitudeLowMeters,altitudeHighMeters,altitudeMeanMeters,mdsX,mdsY
19,Arabica,Yunnan Coffee Exchange,China,CHN,Yunnan Coffee Exchange,Yunnan,Echo Coffee,2015.0,"April 7th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25,0.1,Green,1450,1450,1450,-1.140403995856999,-1.4723921194643477
20,Arabica,Essencecoffee,Ethiopia,ETH,Essence Coffee,Gedio,Levelup,2014.0,"March 25th, 2015",Essencecoffee,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,87.25,0.0,,1700,2000,1850,-1.1808278165550126,-1.3175096200695648
21,Arabica,Cqi Q Coffee Sample Representative,United States of America,USA,Coffee Quality Institute,Antioquia,,2014.0,"March 13th, 2015",Cqi Q Coffee Sample Representative,,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,87.25,0.0,None,2019,2019,2019,-1.2385542076583134,-1.218727898633092
22,Arabica,The Coffee Source Inc.,Costa Rica,CRI,The Coffee Source Inc.,San Ramon,Several,2014.0,"April 2nd, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0.11,Green,1300,1300,1300,-1.1989584745342554,-1.304098439267592
23,Arabica,Roberto Licona Franco,Mexico,MEX,,Xalapa,Roberto Licona Franco,2012.0,"July 26th, 2012",Roberto Licona Franco,,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,Green,1320,1320,1320,-1.1719751734472714,-1.4797404514574557
24,Arabica,Cqi Q Coffee Sample Representative,United States of America,USA,Coffee Quality Institute,Antioquia,Silvia Elena Higuita,2014.0,"March 13th, 2015",Cqi Q Coffee Sample Representative,,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,87.08,0.0,,2112,2112,2112,-1.183687527998011,-1.3522875226139934
25,Arabica,Ji-Ae Ahn,Ethiopia,ETH,,Sidamo,,2013.0,"September 3rd, 2013",Ji-Ae Ahn,,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,87.08,0.11,Bluish-Green,-1,-1,-1,-1.0006908419693197,-1.2767357101635712
26,Arabica,Nucoffee,Brazil,BRA,Nucoffee,South Of Minas,Ralph Junqueira,2011.0,"December 3rd, 2011",Nucoffee,Bourbon,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,Green,1250,1250,1250,-1.0544227084049331,-1.40637491885389
27,Arabica,Ethiopia Commodity Exchange,Ethiopia,ETH,,Sidamo,Green Gold Ethiopia,2009.0,"June 16th, 2010",Ethiopia Commodity Exchange,,,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,86.92,0.05,,-1,-1,-1,-1.138370110267787,-1.1712239788123562
28,Arabica,Kabum Trading Company,Uganda,UGA,Kabum Trading Company,Kapchorwa Eastern,Kabum Trading Company,2013.0,"June 26th, 2014",Kabum Trading Company,SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,0.12,Green,1950,1950,1950,-1.065410492366838,-1.3679892830619351
29,Arabica,Bismarck Castro,Honduras,HND,Cigrah S.A De C.V,Comayagua,Reinerio Zepeda,2016.0,"May 18th, 2017",Bismarck Castro,Caturra,,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.25,86.67,0.1,Green,1400,1400,1400,-0.9460961431826107,-1.215330666607237
30,Arabica,"Lin, Che-Hao Krude",Taiwan,TWN,Taiwan Coffee Laboratory,"Leye, Alishan Township, Chiayi County","Fang,Zheng-Lun",2015.0,"May 18th, 2016","Lin, Che-Hao Krude",Sumatra,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58,0.0,Green,1200,1200,1200,-1.0510698614708287,-1.12302414978074
31,Arabica,Nora Zeas,Nicaragua,NIC,,,,,"May 18th, 2010",Nora Zeas,,,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,8.0,86.58,0.08,,-1,-1,-1,-1.1093294117354136,-1.0883007405342273
