id,species,owner,countryOfOrigin,ISOofOrigin,company,region,producer,harvestYear,gradingDate,owner1,variety,processingMethod,aroma,flavor,aftertaste,acidity,body,balance,uniformity,cleanCup,sweetness,cupperPoints,totalCupPoints,moisture,color,altitudeLowMeters,altitudeHighMeters,altitudeMeanMeters,mdsX,mdsY
213,Arabica,Wayner Jimenez,Costa Rica,CRI,Exclusive Coffee - Costa Rica,Tarrazu,,2016.0,"August 19th, 2016",Wayner Jimenez,Caturra,Washed / Wet,7.92,7.75,7.67,7.67,7.5,7.67,10.0,10.0,10.0,8.0,84.17,0.09,Bluish-Green,1700,1700,1700,-0.3447595636641902,-0.7423909129272228
214,Arabica,Juan Luis Alvarado Romero,Guatemala,GTM,Exportcafe,Huehuetenango,Dary Colman Alvarado Villatoro,2016.0,"June 23rd, 2016",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.75,7.75,7.58,8.0,7.67,7.83,10.0,10.0,10.0,7.58,84.17,0.11,Green,340,340,340,-0.5456924720578287,-0.42506029503160475
215,Arabica,Juan Luis Alvarado Romero,Guatemala,GTM,Cafcom,Solola,Fernando Fahsen,2016.0,"June 1st, 2016",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.75,7.92,7.58,7.92,7.67,7.67,10.0,10.0,10.0,7.67,84.17,0.1,Green,1565,1565,1565,-0.48848160240610117,-0.4968735134421545
216,Arabica,Juan Luis Alvarado Romero,Guatemala,GTM,"Unex Guatemala, S.A.",Norte,Chapultepec,2016.0,"June 1st, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.58,7.83,7.58,7.83,7.83,7.67,10.0,10.0,10.0,7.83,84.17,0.1,Green,3280,3280,3280,-0.43091448045506514,-0.465375921956599
217,Arabica,Racafe & Cia S.C.A,Colombia,COL,Racafe & Cia S.C.A,Huila,La Plata,2015.0,"August 18th, 2015",Racafe & Cia S.C.A,Caturra,Washed / Wet,8.0,7.5,7.5,7.67,8.0,7.83,10.0,10.0,10.0,7.67,84.17,0.0,Bluish-Green,1600,1950,1775,-0.4696831738443928,-0.33790083331314547
218,Arabica,Cooperativa El Gorrion R.L,Nicaragua,NIC,Cooperativa El Gorrion R.L,Jinotega,Cooperativa El Gorrion Rl,2015.0,"August 3rd, 2015",Cooperativa El Gorrion R.L,Caturra,Natural / Dry,7.67,7.83,7.83,7.5,7.67,7.83,10.0,10.0,10.0,7.83,84.17,0.12,Bluish-Green,900,1100,1000,-0.29196503610999497,-0.7144381943782988
219,Arabica,Cafebras,Brazil,BRA,,Cerrado,Mauro Galheri,2015.0,"April 24th, 2015",Cafebras,Catuai,Natural / Dry,7.67,7.75,7.75,7.67,7.83,7.75,10.0,10.0,10.0,7.75,84.17,0.0,,1150,1150,1150,-0.3556259746102253,-0.517741273804516
220,Arabica,"Ceca, S.A.",Costa Rica,CRI,"Ceca,S.A.",Tarrazu,Martin Gutierrez,2014.0,"April 10th, 2015","Ceca,S.A.",Caturra,Washed / Wet,7.67,7.75,7.67,7.75,7.5,8.0,10.0,10.0,10.0,7.83,84.17,0.0,Blue-Green,1850,1850,1850,-0.5458441665878514,-0.5484878469157244
221,Arabica,Asefa Dukamo Keroma,Ethiopia,ETH,Asefa Dukamo Coffee Plantetion,Snnprg; Kafa; Telo Woreda; Shada Kebele,Tariku Oljira,2014.0,"March 26th, 2015",Asefa Dukamo Keroma,Gesha,Natural / Dry,7.5,7.92,7.58,7.83,7.75,7.83,10.0,10.0,10.0,7.75,84.17,0.1,Green,1545,1668,1606,-0.5415866732668304,-0.43278821411965973
222,Arabica,Selian Coffee Estate,United Republic of Tanzania,TZA,Selian Coffee Estate,Arusha,Selian Coffee Estate,2014.0,"December 12th, 2014",Selian Coffee Estate,,Washed / Wet,7.92,7.75,7.75,7.75,7.75,7.58,10.0,10.0,10.0,7.67,84.17,0.13,Green,1400,1400,1400,-0.2857367317810191,-0.619157814988586
223,Arabica,Olam Agro Colombia,Colombia,COL,Olam International Ltd,Huila,,2014.0,"October 15th, 2014",Olam Agro Colombia,,Washed / Wet,7.67,7.5,7.67,7.42,7.83,8.58,10.0,10.0,10.0,7.5,84.17,0.12,Green,1530,1530,1530,0.18745945713738865,-1.165900190349568
224,Arabica,Chris Finch,Guatemala,GTM,Volcafe Specialty Coffee,,,2013.0,"July 16th, 2014",Chris Finch,,Washed / Wet,7.67,7.75,7.67,7.75,7.75,7.75,10.0,10.0,10.0,7.83,84.17,0.11,Bluish-Green,-1,-1,-1,-0.3923936141058611,-0.526510227084436
225,Arabica,Itochu Corporation,Kenya,KEN,Taylor Winch (Coffee) Ltd,Kenya,,2013.0,"November 7th, 2013",Itochu Corporation,SL28,Washed / Wet,7.58,7.75,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.75,84.17,0.08,Green,1,500,250,-0.45921564727201414,-0.47955049622257856
226,Arabica,Owen Carver,Brazil,BRA,,"Minas Gerais, Br",,2012.0,"May 20th, 2013",Owen Carver,Mundo Novo,Natural / Dry,7.58,7.83,7.75,7.67,7.67,8.0,10.0,10.0,10.0,7.67,84.17,0.11,Green,894,1183,1038,-0.583435028571912,-0.4405296347015025
227,Arabica,Juan Luis Alvarado Romero,Guatemala,GTM,"Unex Guatemala, S.A.",Oriente,"Agricola Monte Verde, S.A.",2013.0,"May 9th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.92,7.75,7.67,7.67,7.83,7.92,10.0,10.0,10.0,7.42,84.17,0.11,Green,399,399,399,-0.17693657920881903,-0.6891513189058007
228,Arabica,Atlantic Specialty Coffee,El Salvador,SLV,Atlantic Specialty Coffee,Apaneca,Aida Batlle,2013.0,"March 18th, 2013",Atlantic Specialty Coffee,Bourbon,Natural / Dry,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10.0,10.0,7.92,84.17,0.11,Bluish-Green,1500,1500,1500,-1.437796130038847,-0.31235442505723987
229,Arabica,Exportadora De Cafe Condor S.A,Colombia,COL,Exportadora De Cafe Condor S.A,Huila,,2012.0,"October 19th, 2012",Exportadora De Cafe Condor S.A,Caturra,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.75,10.0,10.0,10.0,7.58,84.17,0.0,Green,1750,1750,1750,-0.3834258283162806,-0.47049030528497365
230,Arabica,Juan Luis Alvarado Romero,Guatemala,GTM,Unicafe,Guatemala,William Estuardo Martinez Pacheco,2012.0,"March 26th, 2012",Juan Luis Alvarado Romero,Catuai,Natural / Dry,7.83,7.5,7.5,8.0,7.83,7.83,10.0,10.0,10.0,7.67,84.17,0.11,Bluish-Green,-1,-1,-1,-0.5622578395611791,-0.3418106042403483
231,Arabica,Afca,Uganda,UGA,Great Lakes Coffee,Mt. Rwenzori,,2012.0,"February 13th, 2012",Afca,,Washed / Wet,7.83,7.75,7.5,7.83,7.83,7.75,10.0,10.0,10.0,7.67,84.17,0.11,Green,1500,1700,1600,-0.36902445038247234,-0.4776465093099316
232,Arabica,Pt.Royal Pacific Indah International,Indonesia,IDN,Pt. Royal Pacific Indah International,Aceh Tengah,Anton Gayo,2017.0,"May 24th, 2017",Pt.Royal Pacific Indah International,Mandheling,Natural / Dry,7.81,7.88,7.56,7.75,7.63,7.75,10.0,10.0,10.0,7.75,84.13,0.12,Bluish-Green,-1,-1,-1,-0.3852181948184265,-0.5650580490675815
233,Arabica,Carcafe Ltda Ci,Colombia,COL,Carcafe Ltda,Huila,Franklin Dussan / Hipolito Torres,2017.0,"November 9th, 2017",Carcafe Ltda Ci,Caturra,Washed / Wet,7.83,7.5,7.42,7.5,7.83,8.5,10.0,10.0,10.0,7.5,84.08,0.0,Green,442,442,442,0.1872342228801075,-1.074070685651833
234,Arabica,"Lin, Che-Hao Krude",Taiwan,TWN,Taiwan Coffee Laboratory,,Chang Yu Liang,2016.0,"May 18th, 2016","Lin, Che-Hao Krude",Typica,Washed / Wet,7.58,7.67,7.67,7.67,7.75,7.83,10.0,10.0,10.0,7.92,84.08,0.1,Bluish-Green,968,968,968,-0.43591552216781326,-0.501285706242891
235,Arabica,Juan Luis Alvarado Romero,Guatemala,GTM,"Unex Guatemala, S.A.",Oriente,Margarita Avila De Nuyens,2016.0,"April 27th, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,8.0,7.75,7.5,7.58,7.92,7.67,10.0,10.0,10.0,7.67,84.08,0.1,Green,-1,-1,-1,-0.15573629696279265,-0.5953440394514494
236,Arabica,Racafe & Cia S.C.A,Colombia,COL,Racafe & Cia S.C.A,Huila,La Plata,2014.0,"November 5th, 2014",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.92,7.75,7.67,7.75,7.67,7.67,10.0,10.0,10.0,7.67,84.08,0.0,,1600,1950,1775,-0.3183063123892133,-0.5779262360759378
237,Arabica,Lusso Lab,Guatemala,GTM,Lusso Coffee Lab,"Aldea Xeucalvitz, Ixil Region, Quiche Department",Asociacion De Productores De Cafe De La Region Ixil,2014.0,"June 16th, 2014",Lusso Lab,Bourbon,Washed / Wet,7.58,7.75,7.67,8.0,7.75,7.67,10.0,10.0,10.0,7.67,84.08,0.1,Bluish-Green,1550,1550,1550,-0.5130166420650166,-0.39941299238911715
238,Arabica,Kona Pacific Farmers Cooperative,United States Minor Outlying Islands,UMI,Kona Pacific Farmers Cooperative,Kona,,2012.0,"January 24th, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10.0,10.0,8.0,84.08,0.11,Green,-1,-1,-1,-0.3198717773723739,-1.1968142511387077
239,Arabica,Andres Martinez Leon,Mexico,MEX,,Santo Domingo Cacalotepec,Andres Martinez Leon,2012.0,"September 4th, 2012",Andres Martinez Leon,Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.83,84.08,0.11,Green,1480,1480,1480,-0.3923936141058611,-0.5265102270844361
240,Arabica,Steven Kil,Ethiopia,ETH,The Specialty Coffee Appraisers Institute Of Asia,"Ethiopia, Sidamo",,2012.0,"August 17th, 2012",Steven Kil,,Natural / Dry,7.92,7.92,7.83,8.0,7.92,7.92,10.0,10.0,8.67,7.92,84.08,0.09,,1800,1800,1800,-1.6271046544536067,-0.3862908082532638
241,Arabica,Amanda Powers,Costa Rica,CRI,Thrive Farmers,,,2017.0,"January 11th, 2018",Amanda Powers,,Washed / Wet,7.58,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.67,84.0,0.08,None,-1,-1,-1,-0.36758942563921215,-0.4131798732512355
242,Arabica,Kyagalanyi Coffee Ltd,Ethiopia,ETH,Kyagalanyi Coffee Ltd,Sidamo,Kerchanshe Trading P.L.C,2017.0,"June 5th, 2017",Kyagalanyi Coffee Ltd,Gesha,Natural / Dry,7.83,7.75,7.67,7.75,7.33,7.75,10.0,10.0,10.0,7.92,84.0,0.11,Green,1800,1800,1800,-0.4100361332395075,-0.6462614924143509
243,Arabica,Bismarck Castro,Honduras,HND,Cigrah S.A De C.V,Comayagua,Nahun Maldonado,2017.0,"May 11th, 2017",Bismarck Castro,Caturra,Washed / Wet,7.42,7.83,7.75,7.92,7.75,7.58,10.0,10.0,10.0,7.75,84.0,0.1,Green,1500,1500,1500,-0.25050229834551313,-0.6713599552230144
244,Arabica,Juan Luis Alvarado Romero,Guatemala,GTM,Exportcafe,Huehuetenango,Otoniel Villatoro Lopez,2015.0,"June 10th, 2015",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.67,7.83,7.58,7.92,7.75,7.67,10.0,10.0,10.0,7.58,84.0,0.12,Green,505,535,520,-0.44260263470777844,-0.38623360469259393
245,Arabica,Olam Agro Colombia,Colombia,COL,Olam International Ltd,Huila,,2014.0,"December 18th, 2014",Olam Agro Colombia,,Washed / Wet,7.67,7.67,7.83,7.58,7.58,7.83,10.0,10.0,10.0,7.83,84.0,0.11,Green,1600,1600,1600,-0.31127212592407383,-0.6427383041538274
246,Arabica,Juan Luis Alvarado Romero,Guatemala,GTM,"Unex Guatemala, S.A.",Oriente,Amilcar Lapola,2014.0,"August 8th, 2014",Juan Luis Alvarado Romero,Bourbon,Natural / Dry,7.92,7.67,7.42,7.92,7.75,7.83,10.0,10.0,10.0,7.5,84.0,0.1,Green,372,372,372,-0.5436841939320352,-0.2948710703076412
247,Arabica,Juan Luis Alvarado Romero,Guatemala,GTM,"Unex Guatemala, S.A.",Oriente,Amilcar Lapola,2014.0,"June 27th, 2014",Juan Luis Alvarado Romero,Bourbon,,7.75,7.83,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.83,84.0,0.1,Green,372,372,372,-0.3896227920007168,-0.5344467214764934
248,Arabica,Olam Agro Colombia,Colombia,COL,Olam International Ltd,Huila,,2014.0,"May 27th, 2014",Olam Agro Colombia,,Washed / Wet,7.67,7.75,7.67,7.67,7.67,7.75,10.0,10.0,10.0,7.83,84.0,0.12,Green,1480,1480,1480,-0.35114875302272003,-0.5249052407769306
249,Arabica,,Colombia,COL,Ecom Cca Sa,Santander,,2014.0,"May 27th, 2014",,Caturra,Natural / Dry,7.58,7.42,7.75,7.92,7.75,7.92,10.0,10.0,10.0,7.67,84.0,0.12,Green,1450,1450,1450,-0.6185494493244086,-0.2917775941936894
250,Arabica,Racafe & Cia S.C.A,Colombia,COL,Racafe & Cia S.C.A,Huila,La Plata,2014.0,"April 8th, 2014",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.67,7.67,10.0,10.0,10.0,8.33,84.0,0.12,Green,1600,1950,1775,-0.07738641928495324,-0.9498576361909532
251,Arabica,Lusso Lab,Ethiopia,ETH,Lusso Coffee Lab,Sidamo,,2013.0,"January 17th, 2014",Lusso Lab,,Natural / Dry,7.75,7.75,7.5,7.58,7.67,7.92,10.0,10.0,10.0,7.83,84.0,0.09,Green,1550,1550,1550,-0.286317344469002,-0.6033000065594455
252,Arabica,Ipanema Coffees,Brazil,BRA,Ipanema Coffees,South Of Minas,Ipanema Coffees,2013.0,"January 2nd, 2014",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.58,7.83,7.67,7.25,8.0,7.75,10.0,10.0,10.0,7.92,84.0,0.1,Green,1260,1260,1260,-0.6093640332512381,-0.23218289573868361
253,Arabica,Exportadora De Cafe Condor S.A,Colombia,COL,Exportadora De Cafe Condor S.A,Cauca,,2013.0,"June 21st, 2013",Exportadora De Cafe Condor S.A,Caturra,Washed / Wet,7.67,7.83,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.67,84.0,0.11,Green,1700,1700,1700,-0.3868269741300278,-0.47537280862639764
254,Arabica,Ibero Kenya Limited,Kenya,KEN,Ibero Kenya Limited,Blend,,2012.0,"March 8th, 2013",Ibero Kenya Limited,SL34,Washed / Wet,7.67,7.83,7.5,7.75,7.92,7.67,10.0,10.0,10.0,7.67,84.0,0.0,Green,1200,1200,1200,-0.31669350374885225,-0.40317963025924125
255,Arabica,Doi Tung Development Project,Thailand,THA,Mae Fah Luang Foundation,Thailand,Doi Tung Development Project,2012.0,"June 21st, 2012",Doi Tung Development Project,,Washed / Wet,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,84.0,0.12,Green,-1,-1,-1,-2.5693211616465854,-0.09485401816055866
256,Arabica,Taylor Winch (Coffee) Ltd.,Kenya,KEN,Taylor Winch (Coffee) Ltd,Central Kenya,,2012.0,"May 31st, 2012",Taylor Winch (Coffee) Ltd.,SL28,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.67,10.0,10.0,10.0,7.67,84.0,0.0,Bluish-Green,1650,1650,1650,-0.32416176595983454,-0.4419977796195274
257,Arabica,Afca,Uganda,UGA,Bukonzo Joint Cfs,Kasese,,2012.0,"February 13th, 2012",Afca,,Washed / Wet,7.92,7.75,7.58,7.67,7.67,7.83,10.0,10.0,10.0,7.58,84.0,0.1,Green,1700,1700,1700,-0.2780435552440469,-0.5658108605171168
258,Arabica,Doi Tung Development Project,Thailand,THA,,,,2011.0,"August 16th, 2011",Doi Tung Development Project,,,7.58,7.75,7.58,7.75,7.58,7.75,10.0,10.0,10.0,8.0,84.0,0.06,,-1,-1,-1,-0.46342888652343384,-0.5303060155183482
259,Arabica,Ipanema Coffees,Brazil,BRA,Ipanema Coffees,South Of Minas,Ipanema Agricola S.A,2017.0,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.5,7.75,7.58,7.5,7.58,7.5,10.0,10.0,10.0,8.5,83.92,0.0,Green,890,890,890,0.030219425740435138,-1.1332996589161577
260,Arabica,Cafes Tomari Sa De Cv,Mexico,MEX,Cafes Tomari Sa De Cv,Veracruz,Cafes Tomari Sa De Cv,2017.0,"July 3rd, 2017",Cafes Tomari Sa De Cv,Mundo Novo,Washed / Wet,7.83,7.83,7.58,7.92,7.42,7.5,10.0,10.0,10.0,7.83,83.92,0.11,Green,1300,1300,1300,-0.3367809213144676,-0.658180319157718
261,Arabica,Sarawut Premjit,Thailand,THA,Intercof 1978 Group Company Limited,Chiangrai,"Phatang, Saveg",2015.0,"October 18th, 2016",Sarawut Premjit,Catimor,Natural / Dry,7.67,7.75,7.5,7.67,7.67,7.83,10.0,10.0,10.0,7.83,83.92,0.1,Bluish-Green,1350,1350,1350,-0.34925779096182,-0.48884699447956154
262,Arabica,Ipanema Coffees,Brazil,BRA,Ipanema Coffees,South Of Minas,Ipanema Agricola,2016.0,"August 16th, 2016",Ipanema Coffees,Bourbon,Natural / Dry,7.58,7.67,7.67,7.75,7.58,7.83,10.0,10.0,10.0,7.83,83.92,0.11,Green,934,934,934,-0.4319085157342063,-0.4695264992798198
263,Arabica,"Lin, Che-Hao Krude",Taiwan,TWN,Taiwan Coffee Laboratory,,"Fang,Zheng-Lun",2015.0,"May 18th, 2016","Lin, Che-Hao Krude",Typica,Washed / Wet,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10.0,10.0,7.83,83.92,0.11,Green,1200,1200,1200,-0.8880348975385944,-0.3112350040062012
264,Arabica,Carcafe Ltda Ci,Colombia,COL,Carcafe Ltda,Huila,Franklin Dussan / Hipolito Torres,2016.0,"February 11th, 2016",Carcafe Ltda Ci,,,7.75,7.67,7.5,7.75,7.83,7.75,10.0,10.0,10.0,7.67,83.92,0.11,Green,442,442,442,-0.2928774539095602,-0.4116586993740439
265,Arabica,Almacafe,Colombia,COL,Racafe & Cia S.C.A,La Plata,,2016.0,"January 21st, 2016",Almacafe,,,7.75,7.58,7.5,7.83,7.75,7.92,10.0,10.0,10.0,7.58,83.92,0.0,,-1,-1,-1,-0.45976173166598927,-0.3186394463882328
266,Arabica,Cqi Taiwan Icp Cqi,Taiwan,TWN,,,Yang Teng Ko,2014.0,"November 7th, 2015",Cqi Taiwan Icp Cqi,,Natural / Dry,7.75,7.75,7.58,7.75,7.75,7.67,10.0,10.0,10.0,7.67,83.92,0.0,Blue-Green,-1,-1,-1,-0.29757338680286527,-0.4476554611288415
267,Arabica,Federacion Nacional De Cafeteros,Colombia,COL,Federacion Nacional De Cafeteros,Huila,,2015.0,"August 18th, 2015",Federacion Nacional De Cafeteros,,Washed / Wet,7.92,7.67,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.75,83.92,0.0,,-1,-1,-1,-0.2996403677858212,-0.5611637269277926
268,Arabica,Federacion Nacional De Cafeteros,Colombia,COL,Federacion Nacional De Cafeteros,Huila,,2014.0,"March 12th, 2015",Federacion Nacional De Cafeteros,,Washed / Wet,7.83,7.75,7.58,7.58,7.75,7.75,10.0,10.0,10.0,7.67,83.92,0.0,None,-1,-1,-1,-0.24283011862858417,-0.5009082092413717
269,Arabica,Racafe & Cia S.C.A,Colombia,COL,Racafe & Cia S.C.A,Huila,La Plata,2014.0,"December 12th, 2014",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,10.0,10.0,10.0,7.58,83.92,0.0,Green,1600,1950,1775,-0.33328382221930825,-0.37853821030139995
270,Arabica,Cqi Taiwan Icp Cqi,Taiwan,TWN,,,,2014.0,"November 23rd, 2014",Cqi Taiwan Icp Cqi,Typica,Washed / Wet,8.0,7.92,7.92,7.92,7.67,7.33,10.0,10.0,10.0,7.17,83.92,0.06,Green,950,950,950,-0.8975659555242911,-0.07508598353903365
271,Arabica,,Colombia,COL,Ecom Cca Sa,Santander,,2014.0,"January 17th, 2014",,Caturra,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,10.0,10.0,10.0,7.5,83.92,0.12,Green,1550,1550,1550,-0.44987408900347076,-0.3785940291199024
272,Arabica,Oscar Ortega Carballo,Mexico,MEX,Agro Xicotepec 2000,Xicotepec De Juarez,Oscar Ortega Carballo,2012.0,"July 3rd, 2012",Oscar Ortega Carballo,Typica,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.67,83.92,0.12,Blue-Green,900,900,900,-0.335102327973772,-0.4325986977404561
273,Arabica,Alfredo Bojalil,Mexico,MEX,Ecomtrading,La Concordia,Arturo Lievano Moreno,2012.0,"June 6th, 2012",Alfredo Bojalil,Typica,Washed / Wet,7.5,7.67,7.58,7.83,7.75,7.75,10.0,10.0,10.0,7.83,83.92,0.11,,1500,1500,1500,-0.4344451971706948,-0.38982111173789685
274,Arabica,Organizaciones De Productores De Cafe Colimense,Mexico,MEX,Organizaciones De Productores De Cafe Colimense Sa De Cv,La Yerbabuena,Coop,2012.0,"April 2nd, 2012",Organizaciones De Productores De Cafe Colimense,Typica,Washed / Wet,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10.0,10.0,7.75,83.92,0.0,Green,1400,1400,1400,-0.1487132862462842,-1.0597572666873771
275,Arabica,Carcafe Ltda Ci,Colombia,COL,Carcafe Ltda,,Jose Albeiro Gomez,2017.0,"June 30th, 2017",Carcafe Ltda Ci,Caturra,Washed / Wet,7.92,7.58,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.75,83.83,0.0,Green,2527,2527,2527,-0.24650361188824096,-0.5662730590612889
276,Arabica,Racafe & Cia S.C.A,Colombia,COL,Racafe & Cia S.C.A,Huila,La Plata,2016.0,"March 14th, 2017",Racafe & Cia S.C.A,Caturra,,7.83,7.67,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.58,83.83,0.0,Green,-1,-1,-1,-0.2875093193751018,-0.4075995627952118
277,Arabica,"Ceca, S.A.",Costa Rica,CRI,"Ceca,S.A.",Tarrazu,Martin Gutierrez,2015.0,"June 6th, 2016","Ceca, S.A.",Caturra,Washed / Wet,7.67,7.67,7.75,7.67,7.5,7.75,10.0,10.0,10.0,7.83,83.83,0.0,Blue-Green,1850,1850,1850,-0.3494757139020005,-0.5387341635583381
278,Arabica,Juan Luis Alvarado Romero,Guatemala,GTM,"Siembras Vision, S.A.",Antigua,Finca Medina,2016.0,"May 23rd, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.75,7.75,7.5,7.75,7.83,7.58,10.0,10.0,10.0,7.67,83.83,0.11,Green,1500,1500,1500,-0.25069693277581406,-0.4052737544695649
279,Arabica,Cqi Taiwan Icp Cqi,Taiwan,TWN,,,,2016.0,"February 23rd, 2016",Cqi Taiwan Icp Cqi,,,7.75,7.67,7.5,7.75,7.75,7.67,10.0,10.0,10.0,7.75,83.83,0.0,,1200,1200,1200,-0.27458561932927894,-0.4368200328620812
280,Arabica,Ipanema Coffees,Brazil,BRA,Ipanema Coffees,South Of Minas,,2015.0,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.25,7.58,7.42,8.0,7.75,7.83,10.0,10.0,10.0,8.0,83.83,0.0,Green,1,1,1,0.005297114991893628,-0.8819905519586726
281,Arabica,"Lin, Che-Hao Krude",Taiwan,TWN,Taiwan Coffee Laboratory,,Zeng Jian Nan,2014.0,"April 30th, 2015","Lin, Che-Hao Krude",Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.42,7.75,10.0,10.0,10.0,7.83,83.83,0.0,Green,480,570,525,-0.3923936141058602,-0.526510227084436
282,Arabica,Yasmin Cofffee Plantation Plc,Ethiopia,ETH,Yasmin Coffee Plantation Plc,Oromia,Sumeya Yasin,2014.0,"March 31st, 2015",Yasmin Cofffee Plantation Plc,,Natural / Dry,7.75,7.75,7.67,7.67,7.58,7.67,10.0,10.0,10.0,7.75,83.83,0.12,Green,1650,1703,1676,-0.300404143893622,-0.5062097793989399
283,Arabica,Ipanema Coffees,Brazil,BRA,Ipanema Coffees,South Of Minas,,2014.0,"October 16th, 2014",Ipanema Coffees,Bourbon,Semi-washed / Semi-pulped,7.67,7.67,7.58,7.5,7.83,8.17,10.0,10.0,9.33,8.08,83.83,0.0,Green,1200,1200,1200,-0.03030623261449027,-1.2055088945478893
284,Arabica,Eric Thormaehlen,Costa Rica,CRI,Coricafe S.A.,Central Valley,,2013.0,"June 9th, 2014",Eric Thormaehlen,Catuai,Washed / Wet,7.83,7.42,7.5,7.83,7.75,7.83,10.0,10.0,10.0,7.67,83.83,0.1,Green,1200,1400,1300,-0.148235608916719,-0.5798367470594927
285,Arabica,Juan Luis Alvarado Romero,Guatemala,GTM,"Unex Guatemala, S.A.",Oriente,Amilcar Lapola,2014.0,"May 22nd, 2014",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.58,7.83,7.33,8.0,7.58,7.75,10.0,10.0,10.0,7.75,83.83,0.1,Green,372,372,372,-0.5784774991783695,-0.30969591218095355
286,Arabica,Ipanema Coffees,Brazil,BRA,Ipanema Coffees,South Of Minas,Ipanema Coffees,2013.0,"December 26th, 2013",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,10.0,7.75,83.83,0.1,Green,1260,1260,1260,0.031330658327662554,-0.4974384195340539
287,Arabica,Garet Alban,Ecuador,ECU,Sultana Del Cafe Inc.,"Province Of Manabi, Ecuador",,2013.0,"October 4th, 2013",Garet Alban,,Natural / Dry,7.5,7.67,7.58,7.75,7.83,7.83,10.0,10.0,10.0,7.67,83.83,0.09,Bluish-Green,800,800,800,-0.383890826438734,-0.3215023880957753
288,Arabica,Exportadora De Cafe Condor S.A,Colombia,COL,Exportadora De Cafe Condor S.A,Huila,,2013.0,"September 3rd, 2013",Exportadora De Cafe Condor S.A,Caturra,Washed / Wet,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,10.0,7.92,83.83,0.11,Green,1750,1750,1750,-0.3854749015392848,-0.48669010723131395
289,Arabica,Juan Luis Alvarado Romero,Guatemala,GTM,"Unex Guatemala, S.A.",Oriente,Roberto Monterroso,2013.0,"April 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,10.0,7.67,83.83,0.11,Green,399,399,399,-0.3989806720202979,-0.31152123515134067
290,Arabica,Filemon Mendoza Campos,Mexico,MEX,,Petatlan,Filemon Mendoza Campos,2012.0,"July 26th, 2012",Filemon Mendoza Campos,Bourbon,Natural / Dry,7.67,8.0,7.67,7.42,7.67,7.5,10.0,10.0,10.0,7.92,83.83,0.1,Green,1218,1218,1218,-0.08819140622981844,-0.7692026982584527
291,Arabica,Alfredo Bojalil,Mexico,MEX,Ecomtrading,"La Concordia, Chiapas",Ernst Pohlenz Aguilar,2012.0,"June 6th, 2012",Alfredo Bojalil,Pacas,Natural / Dry,7.67,7.58,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.83,83.83,0.11,,1300,1300,1300,-0.3193048143108481,-0.4240778258748559
