GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,72.42895126,35.18436371,15.22617937,16.26198318,131.3632584,308.0708059,288.3642595,272.8432617,266.1313426,251.4475844,180.7232674,113.9380035
cccma_cgcm3_1,29.69781473,20.64063348,30.24493938,55.76671431,154.0852271,204.270863,165.8253801,219.143425,337.7244432,283.4612613,129.8318481,46.56632466
cnrm_cm3,71.66514439,43.79800606,28.23642773,36.81042915,132.8645164,210.0930498,192.903517,175.393024,244.7586229,203.4303368,131.7211558,94.8760999
csiro_mk3_5,14.01665964,7.510299491,5.545872589,5.580459409,17.86580049,63.22356796,84.65407329,53.70338991,67.94391918,53.92743784,30.470246,17.9412026
gfdl_cm2_0,11.811569743683556,8.034460862485556,3.393262229029078,2.2968791657036665,30.937971962827778,164.8703431023667,122.92125892644442,130.23665406973333,232.95508236356667,207.35098605677777,74.19199837577779,22.441618071665555
gfdl_cm2_1,16.19310331344,9.506286710504888,5.815076596203444,3.993587644564,22.522375345238892,96.43708631735556,90.43918249335556,122.19082726367778,168.81543986003334,149.18884870731114,112.78468916143333,40.00372356838889
ingv_echam4,56.92801449031112,39.528784142587774,44.13646750981111,88.00224092273334,264.57702806244447,275.15627204055556,237.8890296088889,190.39944118911112,191.27691480855557,198.15957132988888,131.98422495535556,78.71982616849999
inmcm3_0,16.36461851332111,9.143420563808888,4.165521767402001,3.846790883277111,12.664021439032222,36.973011440700006,74.63897408383335,71.31619135543332,66.60484102041111,54.89760949875555,27.48985566032222,17.581411149766666
ipsl_cm4,15.194000071959998,9.987338701874444,6.34108784464,5.579229825068333,23.855482525299998,71.6383861965,131.9521022372,85.84372923109999,53.40607261657778,33.85655254786666,16.181412855795557,12.63793571790889
miroc3_2_medres,12.813546140986666,6.546838190827778,4.9200357529886665,8.176138454012223,26.94474675920222,55.6850232018,57.77632458995556,73.83288404682224,65.66399298773334,113.34350585936667,60.650369856100006,19.799268245702223
miub_echo_g,53.728957917955555,49.293183644622225,68.71610938177777,155.39108022064445,295.80854119188893,330.2069736058889,294.5660976835555,270.52226765955555,295.2993910047778,217.73095703133333,143.48237270777776,68.88012271452222
mpi_echam5,25.442306200677777,14.454987525946668,15.181705898707776,34.082661522766664,150.77111562104446,215.24525282122224,198.33706410722223,181.8927357991222,232.8833533392222,254.3883548313333,142.77340359157773,55.71215036185556
mri_cgcm2_3_2a,26.684518602166666,23.351107067533334,28.613024181788887,48.58536317613333,130.93259980942221,194.8498865764778,168.9486711290889,193.3573650784,251.48044670955557,218.96193440755556,110.22999827066667,46.376221126988895
ukmo_hadcm3,21.66774044435122,13.787515779335333,12.010957466216333,15.421939267066668,105.59867180721112,205.8482191297778,126.59500715479999,104.89764870525556,93.46165127219999,104.91056060792222,45.654877556677775,27.045505868034446
ukmo_hadgem1,27.66561779375267,18.048398017049188,12.925630313658145,12.567268265623333,83.87408743963334,325.6987711588889,256.43212042911114,131.9253446789889,179.15737660722223,240.7174886068889,104.03548134691113,43.702680587801105
